OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND
"49389","11","0","04","004","2019","01","06","7","3","5","2","1","0","1","0","0","0","1",792101.95075700001,5826635.13336000033,13.30517968300,52.51140144900,"0"
"49392","11","0","12","012","2019","01","10","6","3","2","6","0","0","1","0","0","0","1",791393.35148900002,5833814.01425000094,13.30106549900,52.57613782900,"1"
"49395","11","0","03","003","2019","02","12","6","2","5","2","0","0","1","0","0","0","1",799174.06121900002,5832231.90577999968,13.41411877100,52.55773536400,"0"
"49404","11","0","03","003","2019","01","00","1","3","3","6","2","0","1","0","0","0","0",799183.60385299998,5832120.82105999999,13.41415898400,52.55673442300,"1"
"49409","11","0","03","003","2019","02","17","6","3","3","6","1","1","1","0","0","0","0",800199.41268199997,5831003.08985999972,13.42808709800,52.54615693400,"0"
"49419","11","0","04","004","2019","02","10","2","3","2","6","0","0","1","0","0","1","0",790800.46770299994,5826935.51157000102,13.28631856700,52.51478974700,"0"
"49421","11","0","04","004","2019","03","08","2","3","3","6","0","0","1","0","0","1","0",790442.34235699999,5825254.70026999898,13.27958938700,52.49991196500,"0"
"49428","11","0","01","001","2019","01","10","3","3","5","2","0","0","1","0","0","0","0",796453.88100000005,5827390.80700000003,13.36979314000,52.51582761200,"1"
"49434","11","0","12","012","2019","02","11","4","3","2","2","0","0","1","0","0","0","0",795468.83888099995,5833468.68460999895,13.36072523900,52.57084491200,"0"
"49440","11","0","01","001","2019","01","06","5","3","6","2","2","0","1","1","0","0","0",798824.51309999998,5828011.07846000046,13.40518212000,52.52009378100,"1"
"49443","11","0","12","012","2019","02","16","5","3","2","6","0","0","1","0","0","0","0",795816.85270499997,5832407.69393999968,13.36489917200,52.56114518400,"0"
